gene_description,gene_rank
 ATP synthase F1 subunit beta,11
 ATP synthase F1 subunit alpha,11
 colony stimulating factor 1 receptor,11
 ATPase H+ transporting V0 subunit a4,11
 myosin light chain 2,11
 C-X-C motif chemokine ligand 12,11
 myosin light chain 9,11
 integrin subunit beta 7,11
 heat shock protein 90 beta family member 1,11
 sirtuin 1,11
 ATP synthase F0 subunit 8,11
 CD3g molecule,10
 GRB2 associated binding protein 1,10
" alcohol dehydrogenase 5 (class III), chi polypeptide",10
 acetyl-CoA carboxylase beta,10
 tubulin beta 8 class VIII,10
 nuclear factor kappa B subunit 2,10
 vascular endothelial growth factor C,10
 collagen type IV alpha 5 chain,10
 tubulin beta 1 class VI,10
 collagen type IV alpha 6 chain,10
 TIR domain containing adaptor protein,10
 phosphatidylinositol-4-phosphate 5-kinase type 1 alpha,10
" LCK proto-oncogene, Src family tyrosine kinase",10
 fibroblast growth factor 19,10
 integrin subunit beta 5,10
 unc-51 like autophagy activating kinase 1,10
 tubulin beta 2A class IIa,10
 hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha,10
 kinase insert domain receptor,10
 kinesin family member 5C,10
 casein kinase 2 alpha 1,10
 casein kinase 2 alpha 2,10
 casein kinase 2 alpha 3,10
 casein kinase 2 beta,10
 kinesin family member 5B,10
 collagen type IV alpha 4 chain,10
 collagen type IV alpha 3 chain,10
 protein tyrosine kinase 2 beta,10
 tubulin beta class I,10
 dopamine receptor D1,10
" BCAR1 scaffold protein, Cas family member",10
 TNF superfamily member 10,10
 mitochondrial antiviral signaling protein,10
 carnitine palmitoyltransferase 1B,10
 cytochrome P450 family 3 subfamily A member 4,10
 TNF receptor superfamily member 10b,10
 TNF receptor superfamily member 10a,10
 interleukin 3,10
 collagen type IV alpha 2 chain,10
 tubulin beta 6 class V,10
 tubulin beta 4B class IVb,10
 BCL2 like 11,10
 tubulin beta 4A class IVa,10
 tubulin beta 3 class III,10
 vascular endothelial growth factor D,10
 tubulin beta 2B class IIb,10
 collagen type IV alpha 1 chain,10
 SEM1 26S proteasome subunit,10
 ATPase H+ transporting V1 subunit E1,10
 DExD/H-box helicase 58,10
 phospholipase A2 group IIF,10
 ATPase H+ transporting V1 subunit E2,10
 phospholipase A2 group XIIB,10
 phospholipase A2 group XIIA,10
 ATPase H+ transporting V0 subunit b,10
 phospholipase A2 group V,10
 ATPase H+ transporting V1 subunit C2,10
 phospholipase A2 group IIC,10
 phosphatidylinositol-4-phosphate 5-kinase type 1 beta,10
 phospholipase A2 group IID,10
 phospholipase A2 group VI,10
 phospholipase A2 group IIE,10
 protein kinase cGMP-dependent 1,10
 p21 (RAC1) activated kinase 3,10
 ATPase H+ transporting V1 subunit F,10
 ATPase H+ transporting V1 subunit D,10
 glutamate metabotropic receptor 5,10
 peroxisome proliferator activated receptor alpha,10
 phospholipase A2 group III,10
 ATPase H+ transporting V1 subunit C1,10
 ATPase H+ transporting V1 subunit A,10
 ATPase H+ transporting V1 subunit B1,10
 p21 (RAC1) activated kinase 2,10
 low density lipoprotein receptor,10
 phospholipase A2 group X,10
 scavenger receptor class B member 1,10
 ATPase H+ transporting V1 subunit B2,10
 natriuretic peptide A,10
 natriuretic peptide receptor 1,10
 ribosomal protein S6 kinase A6,10
 ribosomal protein S6 kinase A1,10
 cyclin dependent kinase inhibitor 2B,10
 glutamate ionotropic receptor AMPA type subunit 4,10
 kinesin family member 5A,10
 ATPase H+ transporting V1 subunit G3,10
 protein kinase cGMP-dependent 2,10
 neutrophil cytosolic factor 2,10
 PPARG coactivator 1 alpha,10
 ATPase H+ transporting V1 subunit G2,10
 potassium inwardly rectifying channel subfamily J member 6,10
 ATPase H+ transporting accessory protein 1,10
 complement C5,10
 phospholipase A2 group IB,10
 potassium inwardly rectifying channel subfamily J member 3,10
 ribosomal protein S6,10
 ribosomal protein S6 kinase A2,10
 Rho guanine nucleotide exchange factor 1,10
 ATPase H+ transporting V1 subunit G1,10
 phosphatidylinositol-4-phosphate 5-kinase type 1 gamma,10
 cytochrome P450 family 1 subfamily A member 1,10
 heme oxygenase 1,10
 ribosomal protein S6 kinase A3,10
 CD80 molecule,10
 phospholipase A2 group IIA,10
 bradykinin receptor B2,10
" proteasome 26S subunit, non-ATPase 1",9
 sequestosome 1,9
 ribosomal protein S6 kinase A5,9
 zeta chain of T cell receptor associated protein kinase 70,9
 myosin light chain kinase 3,9
" RAB5A, member RAS oncogene family",9
 fibroblast growth factor receptor 4,9
" proteasome 26S subunit, ATPase 2",9
 calreticulin,9
 actin related protein 2/3 complex subunit 3,9
" proteasome 26S subunit ubiquitin receptor, non-ATPase 4",9
 myosin light chain kinase family member 4,9
" proteasome 26S subunit, ATPase 6",9
 sphingosine kinase 2,9
 sphingosine kinase 1,9
 F-box and WD repeat domain containing 11,9
 C-C motif chemokine receptor 5,9
 actin related protein 3C,9
 estrogen receptor 1,9
" proteasome 26S subunit, non-ATPase 13",9
 nerve growth factor,9
 pyruvate dehydrogenase E1 subunit alpha 1,9
 pyruvate dehydrogenase E1 subunit beta,9
 beta-transducin repeat containing E3 ubiquitin protein ligase,9
 integrin subunit beta 8,9
 actinin alpha 1,9
 vascular endothelial growth factor B,9
 pyruvate dehydrogenase E1 subunit alpha 2,9
 aldehyde oxidase 1,9
 adrenoceptor beta 2,9
 LDL receptor related protein 5,9
 brain derived neurotrophic factor,9
 ryanodine receptor 3,9
" proteasome 26S subunit ubiquitin receptor, non-ATPase 2",9
 laminin subunit alpha 4,9
 vascular cell adhesion molecule 1,9
" proteasome 26S subunit, non-ATPase 8",9
" proteasome 26S subunit, non-ATPase 7",9
 ATPase plasma membrane Ca2+ transporting 1,9
 phospholipid phosphatase 1,9
 myosin light chain kinase,9
 laminin subunit gamma 1,9
 LDL receptor related protein 6,9
 ATPase plasma membrane Ca2+ transporting 4,9
 ATPase plasma membrane Ca2+ transporting 3,9
 kininogen 1,9
" proteasome 26S subunit, non-ATPase 11",9
" proteasome 26S subunit, non-ATPase 12",9
 microtubule associated protein 1 light chain 3 beta 2,9
 myosin light chain kinase 2,9
" proteasome 26S subunit, non-ATPase 14",9
 actinin alpha 4,9
" proteasome 26S subunit, non-ATPase 3",9
 ATPase plasma membrane Ca2+ transporting 2,9
 phospholipid phosphatase 3,9
" proteasome 26S subunit, non-ATPase 6",9
 phospholipid phosphatase 2,9
 integrin subunit alpha 9,9
 integrin subunit alpha 1,9
 glyceraldehyde-3-phosphate dehydrogenase,9
 glutaminase,9
 actin related protein 2/3 complex subunit 2,9
 actin related protein 3B,9
 actin related protein 2/3 complex subunit 4,9
 tyrosine hydroxylase,9
 glutamate-ammonia ligase,9
 ATPase H+ transporting V0 subunit e1,9
 heparin binding EGF like growth factor,9
" alcohol dehydrogenase 4 (class II), pi polypeptide",9
 mitogen-activated protein kinase kinase kinase 1,9
 Fc fragment of IgG receptor IIIb,9
 Fc fragment of IgG receptor IIIa,9
 par-3 family cell polarity regulator,9
" alcohol dehydrogenase 1C (class I), gamma polypeptide",9
 heat shock protein family A (Hsp70) member 5,9
 jagged canonical Notch ligand 1,9
 ATPase H+ transporting V0 subunit e2,9
 cytochrome P450 family 2 subfamily C member 9,9
 actin related protein 2/3 complex subunit 5,9
 microtubule associated protein 1 light chain 3 alpha,9
" alcohol dehydrogenase 1B (class I), beta polypeptide",9
 toll like receptor 3,9
 microtubule associated protein 1 light chain 3 gamma,9
 p21 (RAC1) activated kinase 4,9
 actin related protein 3,9
 actin related protein 2/3 complex subunit 1B,9
 toll like receptor 9,9
" proteasome 26S subunit, ATPase 5",9
" glycoprotein hormones, alpha polypeptide",9
 autophagy related 5,9
 suppressor of cytokine signaling 1,9
 glutaminase 2,9
 actin related protein 2,9
 interleukin 23 subunit alpha,9
 notch receptor 1,9
 notch receptor 2,9
 notch receptor 3,9
 actin related protein 2/3 complex subunit 1A,9
 actin related protein 2/3 complex subunit 5 like,9
" proteasome 26S subunit, ATPase 4",9
 potassium inwardly rectifying channel subfamily J member 5,9
" alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",9
 acyl-CoA synthetase long chain family member 1,9
 mitochondrial calcium uniporter,9
 ADRM1 26S proteasome ubiquitin receptor,9
 interleukin 6 cytokine family signal transducer,9
 acyl-CoA synthetase long chain family member 5,9
 acyl-CoA synthetase long chain family member 4,9
 microtubule associated protein 1 light chain 3 beta,9
 glutamate ionotropic receptor NMDA type subunit 3B,9
" proteasome 26S subunit, ATPase 3",9
 phosphoinositide-3-kinase regulatory subunit 4,9
 acyl-CoA synthetase long chain family member 3,9
 protein tyrosine phosphatase non-receptor type 6,9
 acyl-CoA synthetase long chain family member 6,9
 integrin subunit alpha 8,9
 acetyl-CoA carboxylase alpha,9
 carnitine palmitoyltransferase 1A,9
 glutamate ionotropic receptor NMDA type subunit 3A,9
 alcohol dehydrogenase 6 (class V),9
 BCL2 binding component 3,9
 dopa decarboxylase,9
 fms related receptor tyrosine kinase 1,9
" alcohol dehydrogenase 1A (class I), alpha polypeptide",9
 catenin alpha 1,8
 proteasome 20S subunit alpha 4,8
 proteasome 20S subunit beta 6,8
 proteasome 20S subunit alpha 2,8
 aldehyde dehydrogenase 3 family member B1,8
 proteasome 20S subunit alpha 3,8
 lactate dehydrogenase A like 6B,8
 serine hydroxymethyltransferase 1,8
 complement C1q A chain,8
 aldo-keto reductase family 1 member A1,8
 p21 (RAC1) activated kinase 6,8
 serine hydroxymethyltransferase 2,8
 ryanodine receptor 1,8
 proteasome 20S subunit alpha 1,8
 caspase 12 (gene/pseudogene),8
 von Willebrand factor,8
 lactate dehydrogenase C,8
 ORAI calcium release-activated calcium modulator 1,8
 p21 (RAC1) activated kinase 5,8
 proteasome 20S subunit beta 5,8
 isocitrate dehydrogenase (NADP(+)) 2,8
 proteasome 20S subunit beta 3,8
 catenin alpha 3,8
 proteasome 20S subunit alpha 7,8
 NFKB inhibitor epsilon,8
 proopiomelanocortin,8
 interleukin 4 receptor,8
 interleukin 4 induced 1,8
 ADP ribosylation factor 6,8
 proteasome 20S subunit alpha 6,8
 lactate dehydrogenase A like 6A,8
 proteasome 20S subunit beta 4,8
 ribosomal protein S27a,8
 hexosaminidase subunit alpha,8
 proteasome 20S subunit beta 2,8
 lactate dehydrogenase A,8
 proteasome 20S subunit alpha 8,8
 hexosaminidase subunit beta,8
 catenin alpha 2,8
 complement C1q C chain,8
 interleukin 13,8
 dopamine receptor D2,8
 lysophosphatidic acid receptor 1,8
 proteasome 20S subunit beta 1,8
 isocitrate dehydrogenase (NADP(+)) 1,8
 complement C1q B chain,8
 lactate dehydrogenase B,8
 potassium inwardly rectifying channel subfamily J member 9,8
 aldehyde dehydrogenase 3 family member A1,8
 proteasome 20S subunit alpha 5,8
 aldehyde dehydrogenase 3 family member B2,8
 serine/threonine kinase 11,8
 phosphoglucomutase 1,8
 glycogen synthase 2,8
" WD repeat domain, phosphoinositide interacting 1",8
 protein phosphatase 2 regulatory subunit B'epsilon,8
 neutrophil cytosolic factor 4,8
" WD repeat domain, phosphoinositide interacting 2",8
 fructose-bisphosphatase 2,8
 baculoviral IAP repeat containing 5,8
 Fc fragment of IgE receptor Ig,8
 fructose-bisphosphatase 1,8
 protein phosphatase 2 regulatory subunit B'gamma,8
 cytochrome P450 family 1 subfamily B member 1,8
" transporter 1, ATP binding cassette subfamily B member",8
" transporter 2, ATP binding cassette subfamily B member",8
 integrin subunit alpha 10,8
 integrin subunit alpha 11,8
 cytochrome P450 family 2 subfamily A member 6,8
 cytochrome P450 family 2 subfamily A member 7,8
 autophagy related 14,8
 autophagy related 13,8
 autophagy related 101,8
 acyl-CoA dehydrogenase short chain,8
 phosphoglucomutase 2,8
 glycogen synthase 1,8
 matrix metallopeptidase 1,8
" coagulation factor II, thrombin",8
 cyclin dependent kinase 1,8
 protein phosphatase 2 regulatory subunit B'delta,8
 protein phosphatase 2 regulatory subunit B'beta,8
 cathepsin L,8
 X-box binding protein 1,8
 cholinergic receptor muscarinic 1,8
 glucuronidase beta,8
 mitogen-activated protein kinase 7,8
 WASP like actin nucleation promoting factor,8
 nerve growth factor receptor,8
 branched chain amino acid transaminase 2,8
 branched chain amino acid transaminase 1,8
 cyclin B2,8
 Cbl proto-oncogene,8
 superoxide dismutase 1,8
 ubiquitin A-52 residue ribosomal protein fusion product 1,8
 protein phosphatase 2 regulatory subunit B'alpha,8
 bone morphogenetic protein 4,8
 S-phase kinase associated protein 2,8
 CF transmembrane conductance regulator,8
 stimulator of interferon response cGAMP interactor 1,8
 protein phosphatase 1 regulatory subunit 12A,8
" beta-1,4-galactosyltransferase 2",8
" beta-1,4-galactosyltransferase 1",8
 calcium voltage-gated channel subunit alpha1 G,8
 tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon,8
 phospholipase A and acyltransferase 3,8
 CD247 molecule,8
 TPTEP2-CSNK1E readthrough,8
 WASP family member 2,8
 casein kinase 1 alpha 1 like,8
 solute carrier family 2 member 2,8
 laminin subunit alpha 5,8
 C-C motif chemokine ligand 3,8
 adrenoceptor beta 3,8
 casein kinase 1 epsilon,8
 laminin subunit gamma 3,8
 fms related receptor tyrosine kinase 4,8
 TGF-beta activated kinase 1 (MAP3K7) binding protein 3,8
 BUB1B-PAK6 readthrough,8
 fms related receptor tyrosine kinase 3,8
 laminin subunit beta 1,8
 unc-51 like autophagy activating kinase 2,8
 myosin light chain 12B,8
 C-C motif chemokine ligand 3 like 1,8
 myosin light chain 12A,8
 laminin subunit beta 2,8
 hydroxyacyl-CoA dehydrogenase,8
 integrin subunit beta 6,8
 acetyl-CoA acyltransferase 1,8
 casein kinase 1 alpha 1,8
 KIT ligand,8
 integrin subunit beta 4,8
 cytochrome P450 family 2 subfamily C member 8,8
 laminin subunit beta 3,8
 laminin subunit beta 4,8
 proteasome 20S subunit beta 7,8
 laminin subunit gamma 2,8
 integrin subunit alpha 7,8
 carnitine palmitoyltransferase 1C,8
 laminin subunit alpha 3,8
" proteasome 26S subunit, non-ATPase 9",8
 calpain 2,8
 TNF superfamily member 11,8
 C-C motif chemokine ligand 3 like 3,8
 serpin family E member 1,8
 phosphodiesterase 1C,7
 tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta,7
 tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,7
 toll like receptor adaptor molecule 2,7
 calcium voltage-gated channel auxiliary subunit alpha2delta 1,7
 calcium voltage-gated channel auxiliary subunit gamma 8,7
 calcium voltage-gated channel auxiliary subunit alpha2delta 2,7
 kinesin light chain 2,7
 2'-5'-oligoadenylate synthetase 3,7
 erb-b2 receptor tyrosine kinase 3,7
 protein kinase C iota,7
 calcium voltage-gated channel auxiliary subunit alpha2delta 3,7
 BRCA1 DNA repair associated,7
 2'-5'-oligoadenylate synthetase 2,7
 myosin heavy chain 6,7
 calcium voltage-gated channel auxiliary subunit alpha2delta 4,7
 adenosine A2a receptor,7
 Cbl proto-oncogene B,7
 phosphodiesterase 1A,7
 calcium voltage-gated channel auxiliary subunit gamma 1,7
 PML nuclear body scaffold,7
 phosphodiesterase 1B,7
 calcium voltage-gated channel auxiliary subunit gamma 3,7
 calcium voltage-gated channel auxiliary subunit beta 4,7
 myosin heavy chain 7,7
 calcium voltage-gated channel auxiliary subunit beta 3,7
 calcium voltage-gated channel auxiliary subunit gamma 4,7
 calcium voltage-gated channel auxiliary subunit beta 2,7
 calcium voltage-gated channel auxiliary subunit gamma 5,7
 calcium voltage-gated channel auxiliary subunit gamma 6,7
 calcium voltage-gated channel auxiliary subunit beta 1,7
 calcium voltage-gated channel auxiliary subunit gamma 7,7
 calcium voltage-gated channel auxiliary subunit gamma 2,7
" aldolase, fructose-bisphosphate A",7
 tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta,7
 2'-5'-oligoadenylate synthetase 1,7
 complement C3b/C4b receptor 1 like,7
 kinesin light chain 1,7
 interleukin 7 receptor,7
 ectonucleotide pyrophosphatase/phosphodiesterase 3,7
 C-X-C motif chemokine receptor 2,7
 C-C motif chemokine ligand 4,7
 C-C motif chemokine ligand 4 like 1,7
 C-C motif chemokine ligand 4 like 2,7
 ectonucleotide pyrophosphatase/phosphodiesterase 1,7
 lysophosphatidic acid receptor 4,7
 C-X-C motif chemokine ligand 6,7
 phosphoglycerate mutase 1,7
" RAB5B, member RAS oncogene family",7
" RAB5C, member RAS oncogene family",7
" RAB7A, member RAS oncogene family",7
" RAB8A, member RAS oncogene family",7
 proliferating cell nuclear antigen,7
 C-X-C motif chemokine ligand 5,7
 phosphoglycerate mutase 2,7
 phosphoglycerate mutase family member 4,7
" aldolase, fructose-bisphosphate C",7
" aldolase, fructose-bisphosphate B",7
 calpain 1,7
 perforin 1,7
